bancqouilinocq	ilinek
skoran	skora
hentedigez	hentidigezh
erezaz	ereziereza
braead	braeabraealbraeatbraeiatbraei
zigrdereah	digrederezh
enemizellaat	izelaat
enouet	enoeet
scorfou	skorf
aredfors	aredforzh
arzd	arsot
avriadou	avriado
tiscouragemant	diskourajamant
gwallaelez	gwallael
noazoutoute	noazoutnoazinoaz
frouezmir	frouezhmir
azindanzivin	azindanzivin
bourust	bourrus
Aksiatet	aksiantet
garakter	karakter
touriotan	tourtan
dervesiad	devezhiad
Pistiguet	pistiga
chomendiascrenn	diaskren
moust	moust
mestrarmo	mestrarmo
gouloucoar	goulaouenngoar
avemor	avemor
enemharpa	harpaharpi
aziaoul	aziaoul
peurnetaat	peurnaetaat
II	pe
zic'hoantaad	dic'hoantaat
dic'henedet	digenedet
bastard	bastardez
istampieu	istampio
diabadaouas	diabadaoui
troubl	troubl
dizarb	dizarb
echoumanablass	ablas
dalc'hmad	dalc'hmat
tivodestis	divodestiz
rebechou	rebech
crapisent	krapisa
zroyouplek	trobleg
test	test
ituenutuen	edduenn
honestadur	onestadur
vagatellage	bagatellaj
Foran	foran
dizer	dizeur
diann	dienoe
aretorn	aretorn
rebech	rebech
stol	stol
zantparon	santpaeron
eundommaden	tommadenn
kirritan	karrtan
desert	dezert
scrigndent	skrigndent
Mac'h	mac'h
meanpont	maenpont
malgrce	malgras
urgadorpredg	kadorbrezeg
tint	tint
kalounadik	kalonadig
pilcojou	pilkaozio
diskrignet	diskrognet
gefia	kefia
dleour	dleour
limage	limaj
revolt	ravolt
rannet	rannet
kleuieres	kleuzierezh
iodbizin	yodbezhin
dorneri	dorniri
obervazilvidiguez	silvidigezh
sex	seks
arendaren	arendaren
glanguen	glanwennglangen
sklasi	riv
arc'houblad	koublad
Goennglao	glav
diferm	difeurm
boustouf	boustouv
adroc'htranch	troc'htrach
hadkemer	adkemer
flastrethadifflastret	diflastra
dellido	dellid
Enemrei	rei
ahndaral	arall
bemdezordinal	bemdezordinal
adreuzhagahed	adreuzhagahed
dizesk	dizesk
SantNeven	Neven
cetu	setu
ridicul	ridikul
eclasceribinou	ribin
efonnou	fonni
Choufretez	soufretez
magegorf	magegorf
ali	ali
barnerabeoc'h	barnerabeoc'h
saotol	savtaol
ec'haskavas	askavout
droieukam	trogamm
dourbill	dourbilh
follez	follez
neval	aneval
diamnd'	diamen
azizunan	dizunani
elhus	helc'hus
avelkaer	awelkaer
rannvroat	rannvroat
offerenneured	oferenneured
avah	avac'h
ledanded	ledanded
lorber	lorber
enemziboania	diboaniadiboanii
skedus	skedus
compesennadou	kompezennad
Anjina	ajina
breta	brete
guinaudren	gwenodenn
reizamant	reizhamant
priet	priet
aruannad	aroevat
Gentiled	jentil
forbanet	forbannet
aberzkaer	aberzhkaer
Kamleziz	Kamleziz
tommbero	berv
keferet	keferet
dieveset	dievezhet
difeiz	difeiz
Adravir	adrawir
uz	uz
cheleuettan	selaouet
redadeg	redadeg
Isabel	Izabel
brankodet	brankodet
kupennek	kupennek
euningroeztud	engroez
dinahein	dinac'hidinac'hadinac'h
amiablemant	amiaplamant
gwireed	gwiraat
bosein	boseal
aretorn	retorn
avac'h	avac'h
ispirout	inspirout
rozel	rozellforn
nehoalsplannouquet	gwallsplanna
neuennat	neuvennat
riboul	ribouldiriboul
c'hogeal	gogealgogeagogei
erberseverance	perseveras
arc'houezidi	goueziad
rifortirvin	rifordirvin
brenadur	breinadur
fidelamant	fidelamant
daouc'hant	daouc'hant
adoreurien	adorer
Guinal	Gwinal
d'egaout	dagaout
ehoal	gwali
Gres	Gres
diseur	dizeur
awallrebecher	gwallrebech
bayonetez	baionetez
dis	dis
Apostat	apostat
koedkroez	koadkroaz
penngoulou	penngoulo
ridet	riv
inou	eno
ergurentage	kerentaj
gwallberiou	gwallober
vammmager	mammvager
ergadorpredg	kadorbrezeg
recevour	resever
difreio	difreio
roltet	roltet
afa	afas
aretorn	retorn
discalonc	diskalonek
blankik	blank
dizaoured	disaouret
coalgundu	gwallgundu
penkonz	pennkomz
peklienn	pikolenn
agatar	katara
abenfinandro	abennfinandro
silaouret	soulaouret
dornhibill	dornibil
goanvn	goavhav
spled	spled
chagrinet	chagrinet
wanderiou	gwander
arebele	rebellarebelli
redadec	redadeg
erhaijaj	kejaj
zigor	digor
reigolo	rei
porsguint	porzhgwint
ecreiztre	ekreizetreekreiztre
irbaillardigueah	pailhardigezh
Eurgokoen	kokoenn
magasinet	magazenna
ruzven	ruzwenn
tremeniat	tremeniad
Blaouahet	braouac'het
lorhet	lorc'halorc'hi
Diboell	diboell
kannadeg	kannadeg
enemro	rei
eurc'hravasdoug	kravazhdoug
kliked	kliked
filout	filout
lanfoet	leunfoet
daou	daoubleget
etivuanekeont	divuanekaat
skodou	skod
leuren	leurenn
astoccroc'hen	astokkroc'hen
drejo	tres
dallput	dallput
plousegou	plouzeg
carnet	karnet
Idoltriachidolitriach	idolatriajidolatriezh
senthus	sentus
azprena	asprena
nesiket	sia
freuza	freuzafreuziatfreuzi
vlas	blaz
SantVaze	SantVazhePennarBed
avan	aveiaven
beurnetaat	peurnaetaat
p'eguir	peogwir
vlutach	flutaj
morgenn	morgenn
bostadet	bostadet
effejou	efed
stourmad	stourmad
Blennvez	bleuvnevez
feillad	feilhad
teissr	teiser
sklabezadurez	stlabezadurezh
zouarenn	douarenn
digor	digor
hadretorn	adretorn
clanveet	klavaet
adaill	adailh
horel	horell
camed	kammed
h'lommer	koulomer
barbelec	barbellek
ecreizetrezo	ekreizetreekreiztre
difrink	difrink
penpill	pennpilh
adrspar	adreistpar
er	er
mourailleu	morailh
dihouriadet	diwriziadi
fleureji	fleureuji
arc'hedez	kedez
lardkuill	lartkuilh
loadet	louadi
douartirien	douartirien
askuize	skuizha
bekfuzil	begfuzuilh
idolatriaz	idolatriajidolatriezh
libertin	libertin
varilliad	barilhad
dic'hloar	dic'hloar
Perdebrei	peurzebri
hentchoutro	henttro
dizispign	dizispign
displica	displika
didach	didach
eurc'houplad	koublad
instrujet	instrujet
pizhapiz	pizhhapizh
aziellaz	siellasielli
dizunvan	dizunvan
merc'hejoufall	merc'hfall
setuaman	setu
ergentaou	ergentaou
dic'hoantegez	dic'hoantegezh
hented	hented
o	blod
zinec'hi	dinec'hi
da	rei
lizerekeet	lizherekaat
Agordennadou	kordennad
Direngennet	dirajennet
mouskin	mouskin
perier	perier
brec'hdu	brec'hzu
aoglenn	oglenn
peurgreaat	peurgrevaat
crehenet	kreienet
pennaraog	pennaraog
ne	ne
abebquis	abepgiz
Hevelmil	mil
wellgann	gwallganna
sammuz	sammus
ami	ami
Kost	kost
prst	prest
theologal	teologal
vlistreresdour	flistrerezdour
brignene	brignenennbrignonenn
fidlit	fidelite
diroufennit	diroufenna
beleiendouet	touet
taulsl	taolsell
ollvadelezuz	hollvadelezhus
darnet	darnet
huiezegasschongeteign	degasdegasi
castis	kastiz
riscuz	riskus
aenkrezjomp	enkrezi
enhormesko	emesk
divot	divot
nisbihan	nizbihan
exprimidiguez	eksprimidigezh
Goedennek	goedennek
kerronnet	kerc'honet
abeurlaz	peurlazha
difinves	difinvezh
dic'hout	dic'hout
lachentez	lachentez
dinaturi	dinaturadinaturi
schoni	skuizhoni
tarigoz	tarigoz
eurc'hlanvour	klavour
divoc'h	boc'h
nehuhan	nevezhav
Goge	goge
fontbadisiant	fontbadeziant
koumpagnunez	kompagnunezh
dishanuettan	dizanavet
gniegour	gwiniegour
bernvarvern	bernwarvern
bremak	bremaik
arbladenvene	pladennvenez
garc'heiz	kerc'heiz
psalmeri	psalmeri
anemised	anemiz
Digompez	digompez
dizharp	disharp
lichichen	lichichen
taolru	taolru
huibeden	c'hwibedenn
diozet	diaozet
istre	estre
kuitaatarbekdouarman	begdouar
boedenhelost	bouedennlost
abadma	abad
dibarquein	dibarki
salissa	salisa
Sourina	sourina
digopet	digoupet
truillenneg	truilhennek
ayouancq	ayaouank
moucht	mouched
croza	krozalkroza
Direktoer	direktoer
kargour	kargour
groahenn	gwrac'henn
enememmelleus	emelloutemella
placet	plaset
incomprenabl	inkomprenapl
Kryou	ker
potrkeguiner	paotrkeginer
pars	pares
von	von
Heal	hael
leunc'hoad	leunwad
fringellat	fringellat
Lenn	lenn
eurc'holetaro	koletarv
ali	ali
sutryen	suter
obereundommadenn	tommadenn
neket	neket
neket	neket
iaouBask	YaouBaskYaouFask
dregreiz	dregreiz
gwinizgou	gwinizheg
skouarned	skouarnet
fondzon	fondezonfondezion
agripisse	kripisa
zularPusdibus	peuzdibeuz
mezepet	mezepet
anvoezen	havouezenn
ster	str
Gourlerc'her	goulerc'her
breinoni	breinoni
meancorn	maenkorn
examplus	egzamplus
Annoc'haned	hoc'haned
discred	diskred
azigouezaz	digouezha
ahantr	ahanter
moritelhat	moritellat
neiziaoui	neizhiaoua
red	red
teurc'huezet	torc'hwezet
blach	blach
oulm	oulm
eu	oes
gomor	govor
zac'ha	sac'ha
treuzdidreuzdeh	treuzdidreuz
bassefos	basefos
rudizec	rudizeg
agordennadou	kordennad
karnet	karnet
vaillurenna	mailhurenna
dvorant	devorant
hirnes	hirnezh
azivarbouez	aziwarbouez
Enqueithama	ekeit
lonkrez	lonkerezh
vezia	bezia
ayouancq	ayaouank
dic'hoarz	dic'hoarzh
enemanaout	anavezoutanavoutanaout
c'hwiltouzien	c'hwiltouz
distrafuillet	distrafuilhet
kochonnet	kochon
arc'hrouffograou	koufrograo
derveziad	devezhiad
Fustmust	fustmust
tadkozargaou	Tadkozhargaou
beugisal	beugisal
ivanti	invanti
bodennet	bodennet
jaugeaplan	jaojapl
brizdescadurez	brizhdeskadurezh
warhentenn	wareeuntenn
lovrereah	lovrerezh
faosoniou	faosoni
SantVazePennarbed	SantVazhePennarBed
huilcrugud	c'hwilkrug
pitach	pitach
didortil	didortilh
koedhaleg	koadhaleg
Abepamzer	amzer
Kadorarbinijen	pinijenn
peurwriet	peurwriat
dizakr	disakr
ollc'halloudek	hollc'halloudeg
lerc'hlerc'h	lerc'hlerc'h
deputeed	depute
imparfall	amparfal
draillkorf	drailhkorf
stuyou	stuc'h
marc'hjervich	marc'hservij
louaret	louaret
skanbennet	skavbennet
amzigor	amzigor
roqueden	rokedenn
pennoukenta	pennkenta
peurc'hreat	peurc'hraet
derven	dervenn
Kerezek	kerezeg
discuilldioc'h	diskuilh
meret	meret
Kuitouz	kuitouz
tytavarn	titavarn
napegeit	pegeit
asmir	azmir
teurgellek	teurbelek
saour	saour
sauzon	saozon
itic	itik
divisctog	diwisktog
frigaset	frigaset
hebrn	heizbrenn
Mouchenn	mouchenn
chalquet	chalket
rangalon	ranngalon
diferm	difeurm
krenvan	krenvan
fuzulien	fuzuilhenn
touelluz	touellus
penndibenn	penndibenn
brumennet	brumennet
ganneresns	kannereznoz
engherz	engerzh
abad	abad
Reogwenn	revgwenn
haderez	haderez
avoalstag	gwallstaga
usmolet	usmolet
goarm	gwaremm
cousemennet	kouzoumenni
gogeal	gogealgogeagogei
al	all
urhabuchon	kabuchon
aribl	aribl
peurvaro	peurvarv
goarnation	gouarnasion
testeu	test
avad	avat
dibermet	dibermet
mouchette	mouched
disuport	disuport
turierdouar	turierdouar
begad	begad
muntrereset	muntrerez
awezannamzer	awezh
etloevrall	brall
victim	viktim
Bothsorel	Bodsorc'hel
grizillonit	brizilhonibrizilhona
amgristen	amgristen
dispostioneu	dispozision
Tabernacl	tabernakl
zznach	saoznaj
shet	sec'het
avad	avat
gourdrouzou	gourdrouz
dis'hlac'har	disc'hlac'har
gulator	kulator
estlammet	estlammet
fontan	fontafonti
korgamek	gourgammek
apoeilhou	apoueilh
paan	paian
trabellerez	trabellerezh
kistenmoc'h	kistinmoc'h
modigansou	modigaso
Varevelse	warevelse
diveleien	diveleg
Botezlouz	botezlous
wardaro	warzarev
vraventez	braventez
dic'hoanteghez	dic'hoantegezh
elfen	elfenndan
romen	romen
dilivrans	dilivras
fleurenned	fleurennet
dic'hout	dic'hout
toneu	ton
diamzavet	dianzavet
Spot	spont
assolet	asoli
zauzein	saoza
ollbaduz	hollbadus
azvelet	azgweloutazgwelet
adroetro	adroetro
pegwir	peogwir
etiflistraz	deflistra
eurgontadel	kontadell
driouac'hed	triwec'hvet
diflat	diflatrdiflat
prestou	prest
dihouriadein	diwriziadi
Filsierauten	falzaotenn
prouf	prou
kazgleb	kazhgleb
vtet	vatet
tadargaou	tadargaouargevier
ampouisonour	ampoezoner
scrignadll	skrignadell
Kamlez	Kamlez
sacr	sakr
Tuaillnnneu	toailhenn
recorded	rekord
perlez	loupenn
skuiza	skuizha
tragidi	trajidi
arc'haniennou	kanienn
loskus	loskus
peurdispin	peurzispign
avamen	avama
traouesiou	traouezio
zama	zama
gihue	gwiv
Linegez	linegez
amnoh	amen
spouronnuz	spouronus
erc'hornpleg	kornpleg
bali	bali
arVourc'hvenn	Bourc'hWenn
Roskoaden	Roskoadenn
Sklipad	sklipad
perdroed	peurdrei
Peuzdibeuz	peuzdibeuz
agarradeu	agarrado
derc'hentdeac'h	derc'hentdec'h
oredas	oredi
nadroughanvalketouz	droukhavalout
treuzet	treuzitreuza
dasse	dase
deurbihue	dourbev
mestrezplac'h	mestrezplac'h
zivisctog	diwisktog
primhaprim	primhaprim
andrabel	trabell
dic'houibu	dic'hwibu
diveramzer	diverramzer
besiadou	beziad
guall	gwall
onda	didu
diroll	diroll
nandecvd	naontekvet
azismeghint	dismega
yerdour	yarzour
diweskelleg	divaskellek
c'hoariellachou	c'hoariellajo
achorme	chormi
Gunizegou	gwinizheg
odeougarr	odegarr
disterved	disterved
prizachet	prizajet
neusdet	neuzded
azindanguz	azindanguzh
gommancc	agomas
keuren	keurenn
dadouez	dadouez
divroad	divroat
chouis	chouis
avalouoranjez	avalorajez
dilivran	dilivras
Toullbez	toullbez
diblas	diblas
Dastaz	dastaz
tibordel	dibordal
goudouren	goudorenn
abersonjas	peursojal
kouetis	kouetiz
Goden	goedenn
hochon	kochon
argalonlaz	kalonlazh
marveillus	marvailhus
Arab	arab
poud	pout
bremadiveza	bremadiwezha
kammed	kammed
Gorlei	Korlei
alanaddiveza	analad
emetiq	emetik
Mardozi	mardozi
opium	opiom
lunedennou	lunedenn
tisabuzi	dizabuzi
ostenminiq	ostant
simpad	simpat
diventur	diventur
blas	blaz
reneein	renevezi
forbanet	forbannet
d'nou	eno
sigur	esigur
trubarderez	trubarderezh
divuzuz	divuzus
arbevaret	pevaret
etrufflint	trufla
gallek	galleg
diamen	diamen
edguenn	edgwenn
zoken	siken
hedholanchen	lachenn
enomesk(o)	emesk
distagerien	distager
Hoadgoez	gouez
didok	didog
Bvinsazon	saesonsaezon
esperjein	asperjaasperji
C'hoarleaz	c'hoarlaezh
beillerez	beilherezh
peurrest	peurrest
accompagnunecat	akompagnunekaat
aziriklas	dirikla
taolru	taolru
rost	rost
dibistig	dibistig
bibis	bibisbibisig
plean	plaen
endribunal	tribunal
beizik	beizik
Anaoudek	anaoudeg
lardislar	lavardislavar
emganna	emgannaemganni
meahus	mezvus
enemdizinoui	dizenoei
zomuiken	zomuiken
mudet	mudet
potbassin	podbasin
tauxeu	taos
dinec'hi	dinec'hi
goalgundu	gwallgundu
gleuat	gloevaat
gouanderiou	gwander
Guedour	gedour
reoll	reholl
stouet	stouet
corcqed	kork
areazlammchoukhebenn	lammchoukebenn
dizanaoudek	dizanaoudek
difrouezidigez	difrouezhidigezh
Uzel	Uzel
ifirm	ifirm
Diasavet	dianzavet
Parbleur	parbleur
gouremou	gourem
toulbouger	bougre
azoebatdezo	ebat
scosselus	skosellus
urouilliaden	goueliadenn
douj	douj
c'harlatanet	c'harlatanet
limet	limet
aziadr	aziadro
stalage	staliajstalaj
Falhvarchecheu	falsvarch
droukimplia	drougimplijout
androzanc	trozas
Lammout	lammatlammetlammoutlammilampatlampout
adudedu	adudadu
pilejou	piled
